"local/unknown",2013-07-21T17:38:30+02:00,5,"sqli id","GET.id=%3Cselect%20%2A%20%20from%20i","%2FS2-16%2Findex.php%3Fid%3D%253Cselect%2520%2A%2520%2520from%2520i","127.0.0.1"
"36.250.161.137",2013-07-22T06:01:17+02:00,8,"xss csrf id rfe lfi","GET.id=%3Cscript%3E","%2Fs2-16%2Findex.php%3Fid%3D%253Cscript%253E","192.168.1.101"
"local/unknown",2013-07-24T05:07:17+02:00,12,"xss csrf id rfe lfi","COOKIE.s_pers=%20s_fid%3D7BBA17103FED9016-0ADCD47431BC0240%7C1434041902811%3B%20s_vs%3D1%7C1370971702814%3B%20s_nr%3D1370969902819-New%7C1402505902819%3B","%2Fs2-16%2F","127.0.0.1"
"local/unknown",2013-07-24T05:07:24+02:00,12,"xss csrf id rfe lfi","COOKIE.s_pers=%20s_fid%3D7BBA17103FED9016-0ADCD47431BC0240%7C1434041902811%3B%20s_vs%3D1%7C1370971702814%3B%20s_nr%3D1370969902819-New%7C1402505902819%3B","%2Fs2-16%2Findex.php","127.0.0.1"
"local/unknown",2013-07-24T05:07:30+02:00,12,"xss csrf id rfe lfi","COOKIE.s_pers=%20s_fid%3D7BBA17103FED9016-0ADCD47431BC0240%7C1434041902811%3B%20s_vs%3D1%7C1370971702814%3B%20s_nr%3D1370969902819-New%7C1402505902819%3B","%2Fs2-16%2Findex.php","127.0.0.1"
"local/unknown",2013-07-24T05:07:42+02:00,12,"xss csrf id rfe lfi","COOKIE.s_pers=%20s_fid%3D7BBA17103FED9016-0ADCD47431BC0240%7C1434041902811%3B%20s_vs%3D1%7C1370971702814%3B%20s_nr%3D1370969902819-New%7C1402505902819%3B","%2Fs2-16%2Findex.php","127.0.0.1"
"local/unknown",2013-07-24T05:08:19+02:00,12,"xss csrf id rfe lfi","COOKIE.s_pers=%20s_fid%3D7BBA17103FED9016-0ADCD47431BC0240%7C1434041902811%3B%20s_vs%3D1%7C1370971702814%3B%20s_nr%3D1370969902819-New%7C1402505902819%3B","%2Fs2-16%2Findex.php","127.0.0.1"
"local/unknown",2013-07-28T03:42:50+02:00,12,"xss csrf id rfe lfi","COOKIE.s_pers=%20s_fid%3D7BBA17103FED9016-0ADCD47431BC0240%7C1434041902811%3B%20s_vs%3D1%7C1370971702814%3B%20s_nr%3D1370969902819-New%7C1402505902819%3B","%2Fs2-16%2F","127.0.0.1"
"local/unknown",2013-07-28T03:42:55+02:00,12,"xss csrf id rfe lfi","COOKIE.s_pers=%20s_fid%3D7BBA17103FED9016-0ADCD47431BC0240%7C1434041902811%3B%20s_vs%3D1%7C1370971702814%3B%20s_nr%3D1370969902819-New%7C1402505902819%3B","%2Fs2-16%2Findex.php","127.0.0.1"
"local/unknown",2013-07-28T03:43:20+02:00,12,"xss csrf id rfe lfi","COOKIE.s_pers=%20s_fid%3D7BBA17103FED9016-0ADCD47431BC0240%7C1434041902811%3B%20s_vs%3D1%7C1370971702814%3B%20s_nr%3D1370969902819-New%7C1402505902819%3B","%2Fs2-16%2Findex.php","127.0.0.1"
"local/unknown",2013-07-28T03:43:26+02:00,12,"xss csrf id rfe lfi","COOKIE.s_pers=%20s_fid%3D7BBA17103FED9016-0ADCD47431BC0240%7C1434041902811%3B%20s_vs%3D1%7C1370971702814%3B%20s_nr%3D1370969902819-New%7C1402505902819%3B","%2Fs2-16%2Findex.php","127.0.0.1"
"local/unknown",2013-07-28T03:43:38+02:00,12,"xss csrf id rfe lfi","COOKIE.s_pers=%20s_fid%3D7BBA17103FED9016-0ADCD47431BC0240%7C1434041902811%3B%20s_vs%3D1%7C1370971702814%3B%20s_nr%3D1370969902819-New%7C1402505902819%3B","%2Fs2-16%2Findex.php","127.0.0.1"
"local/unknown",2013-07-28T03:43:42+02:00,12,"xss csrf id rfe lfi","COOKIE.s_pers=%20s_fid%3D7BBA17103FED9016-0ADCD47431BC0240%7C1434041902811%3B%20s_vs%3D1%7C1370971702814%3B%20s_nr%3D1370969902819-New%7C1402505902819%3B","%2Fs2-16%2Findex.php","127.0.0.1"
"local/unknown",2013-08-09T08:14:39+02:00,26,"xss csrf id rfe lfi sqli","GET.m=%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php%3Fm%3D%253Cscript%253Ealert%28%27xx%27%29%253C%2Fscript%253E","127.0.0.2"
"local/unknown",2013-08-09T08:14:57+02:00,26,"xss csrf id rfe lfi sqli","POST.query=%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T08:15:15+02:00,26,"xss csrf id rfe lfi sqli","POST.query=%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T08:16:59+02:00,21,"xss csrf id rfe lfi sqli","POST.query=test%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T08:17:22+02:00,21,"xss csrf id rfe lfi sqli","POST.query=test%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T08:18:12+02:00,21,"xss csrf id rfe lfi sqli","POST.query=test%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T08:20:02+02:00,26,"xss csrf id rfe lfi sqli","POST.query=%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T08:20:05+02:00,26,"xss csrf id rfe lfi sqli","POST.query=%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T08:20:13+02:00,26,"xss csrf id rfe lfi sqli","POST.query=%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T08:21:03+02:00,21,"xss csrf id rfe lfi sqli","POST.query=test%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T08:22:46+02:00,21,"xss csrf id rfe lfi sqli","POST.query=test%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T08:24:46+02:00,21,"xss csrf id rfe lfi sqli","POST.query=test%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T08:24:50+02:00,21,"xss csrf id rfe lfi sqli","POST.query=test%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T08:25:10+02:00,21,"xss csrf id rfe lfi sqli","POST.query=test%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T08:25:21+02:00,21,"xss csrf id rfe lfi sqli","POST.query=test%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T08:26:34+02:00,21,"xss csrf id rfe lfi sqli","POST.query=test%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
"local/unknown",2013-08-09T08:26:45+02:00,21,"xss csrf id rfe lfi sqli","POST.query=test%3Cscript%3Ealert%28%27xx%27%29%3C%2Fscript%3E","%2Fsocialengineer%2Fsearch.php","127.0.0.1"
